name,quantity,protein,carbs,sugars,cholesterol,fiber,fat,calories
Frankfurter/ turkey,0,12.23,3.81,1.21,77,0,17,223
Candies/ jellybeans,0,0,93.55,70,0,0.2,0.1,375
Oil/ ucuhuba butter,0,0,0,0,0,0,100,884
Soy protein isolate,0,88.32,0,0,0,0,3.4,335
Syrups/ light/ corn,0,0,76.79,76.77,0,0,0.2,283
Fish/ raw/ milkfish,0,20.53,0,0,52,0,6.7,148
Fish/ raw/ monkfish,0,14.48,0,0,25,0,1.5,76
Mother's loaf/ pork,0,12.07,7.53,0,45,0,22,282
Tapioca/ dry/ pearl,0,0.19,88.69,3.35,0,0.9,0,358
Guavas/ raw/ common,0,2.55,14.32,8.92,0,5.4,1,68
Spices/ celery seed,0,18.07,41.35,0.67,0,11.8,25,392
Candies/ peanut bar,0,15.5,47.4,42.22,0,4.1,34,522
Bread/ toasted/ rye,0,9.4,53.1,4.23,0,6.4,3.6,284
Oil/ apricot kernel,0,0,0,0,0,0,100,884
Candies/ YORK BITES,0,1.78,81.64,75,1,2,7.3,394
Meatballs/ meatless,0,21,8,1.25,0,4.6,9,197
Emu/ raw/ full rump,0,22.83,0,0,85,0,1.6,112
Mustard greens/ raw,0,2.86,4.67,1.32,0,3.2,0.4,27
Seaweed/ raw/ laver,0,5.81,5.11,0.49,0,0.3,0.3,35
Sweet rolls/ cheese,0,7.1,43.7,0,76,1.2,18,360
Figs/ stewed/ dried,0,1.42,27.57,23.35,0,4.2,0.4,107
Bread sticks/ plain,0,12,68.4,1.26,0,3,9.5,412
SILK Mocha/ soymilk,0,2.06,9.05,7.41,0,0,1.4,58
Milk and cereal bar,0,6.47,72.05,45.97,6,0.4,11,413
Bread/ pumpernickel,0,8.7,47.5,0.53,0,6.5,3.1,250
Game meat/ raw/ elk,0,22.95,0,0,55,0,1.5,111
PACE/ Pico De Gallo,0,0,9.38,6.25,0,0,0,31
Ostrich/ raw/ round,0,21.99,0,0,71,0,2.4,116
HORMEL/ Cure 81 Ham,0,18.43,0.21,0,51,0,3.6,106
Prune juice/ canned,0,0.61,17.45,16.45,0,1,0,71
McDONALD'S/ BIG MAC,0,11.82,20.08,3.97,36,1.6,15,257
Soy flour/ defatted,0,51.46,33.92,16.42,0,17.5,1.2,327
Bread/ toasted/ egg,0,10.5,52.6,1.94,56,2.5,6.6,315
Fish/ raw/ mahimahi,0,18.5,0,0,73,0,0.7,85
Fish/ raw/ bluefish,0,20.04,0,0,59,0,4.2,124
Spices/ fennel seed,0,15.8,52.29,0,0,39.8,15,345
Potatoes/ skin/ raw,0,2.57,12.44,0,0,2.5,0.1,58
Pepper/ raw/ banana,0,1.66,5.35,1.95,0,3.4,0.5,27
Drumstick pods/ raw,0,2.1,8.53,0,0,3.2,0.2,37
Toppings/ pineapple,0,0.1,66.4,21.01,0,0.4,0.1,253
Acorn stew (Apache),0,6.81,9.22,0.34,20,0.7,3.5,95
Tomatoes/ sun-dried,0,14.11,55.76,37.59,0,12.3,3,258
Guava sauce/ cooked,0,0.32,9.48,5.88,0,3.6,0.1,36
Pumpkin leaves/ raw,0,3.15,2.33,0,0,0,0.4,19
Melons/ raw/ casaba,0,1.11,6.58,5.69,0,0.9,0.1,28
Melon balls/ frozen,0,0.84,7.94,0,0,0.7,0.3,33
Fish oil/ cod liver,0,0,0,0,570,0,100,902
Nuts/ dried/ acorns,0,8.1,53.66,0,0,0,31,509
Rolls/ pumpernickel,0,10.8,51.87,0.4,0,5.4,2.8,276
Gravy/ dry/ chicken,0,11.27,62.09,0,19,0,9.7,381
Fish/ raw/ tilefish,0,17.5,0,0,50,0,2.3,96
Ice creams/ vanilla,0,3.5,23.6,21.22,44,0.7,11,207
SILK Plain/ soymilk,0,2.88,3.29,2.47,0,0.4,1.7,41
Cabbage/ raw/ savoy,0,2,6.1,2.27,0,3.1,0.1,27
Fish/ raw/ tilapia,0,20.08,0,0,50,0,1.7,96
Broccoli raab/ raw,0,3.17,2.85,0.38,0,2.7,0.5,22
Corn grain/ yellow,0,9.42,74.26,0.64,0,7.3,4.7,365
Turtle/ raw/ green,0,19.8,0,0,50,0,0.5,89
Chicory roots/ raw,0,1.4,17.51,8.73,0,1.5,0.2,72
Ice cream sandwich,0,4.29,37.14,18.57,21,0,8.6,237
Croutons/ seasoned,0,10.8,63.5,4.41,7,5,18,465
Snacks/ taro chips,0,2.3,68.1,3.82,0,7.2,25,498
Prickly pears/ raw,0,0.73,9.57,0,0,3.6,0.5,41
Fish/ raw/ haddock,0,16.32,0,0,54,0,0.5,74
Liver cheese/ pork,0,15.2,2.1,0,174,0,26,304
Ground turkey/ raw,0,19.66,0,0,69,0,7.7,148
